timestamp,signal
10219,252
10229,268
10240,268
10250,292
10261,292
10271,314
10281,311
10293,325
10303,324
10313,332
10323,332
10281,311
10293,325
10303,324
10313,332
10323,332
10281,311
10293,325
10303,324
10313,332
10323,332
10345,339
10355,337
10366,344
10377,344
10387,350
10397,340
10408,349
10419,341
10429,353
10439,343
10450,354
10461,344
10471,353
10482,346
10492,350
10503,348
10513,349
10524,350
10534,345
10545,350
10556,345
10566,349
10576,343
10587,353
10598,343
10608,355
10618,344
10629,355
10640,347
10650,357
10660,351
10672,358
10683,356
10694,352
10706,357
10718,348
10729,359
10740,347
10752,353
10763,354
10775,346
10786,357
10798,347
10809,359
10820,352
10831,352
10844,355
10855,348
10866,359
10877,349
10889,354
10900,347
10912,345
10924,352
10935,342
10946,352
10957,344
10969,352
10981,346
10992,344
11003,349
11015,338
11026,349
11038,342
11049,348
11061,345
11072,338
11083,344
11095,335
11107,347
11118,337
11129,339
11141,339
11152,335
11163,341
11175,334
11187,343
11198,337
11209,340
11220,339
11232,330
11244,344
11255,333
11267,343
11278,335
11289,336
11300,339
11313,330
11324,341
11335,334
11346,339
11358,334
11370,334
11381,337
11393,327
11404,338
11415,330
11426,336
11439,334
11450,333
11461,336
11472,327
11484,337
11495,329
11507,332
11518,331
11530,326
11541,337
11552,329
11564,347
11576,350
11587,336
11598,322
11610,317
11621,356
11632,369
11644,310
11656,356
11667,333
11678,378
11689,288
11701,376
11713,340
11724,350
11736,305
11747,362
11758,337
11770,309
11782,356
11793,313
11804,325
11815,328
11827,348
11839,321
11850,308
11862,333
11873,285
11884,324
11895,326
11908,304
11919,309
11930,337
11941,312
11953,316
11964,300
11976,308
11987,303
11999,313
12010,310
12021,314
12033,300
12045,315
12056,313
12067,308
12079,318
12090,311
12102,320
12113,319
12125,320
12136,326
12147,319
12158,331
12171,324
12182,332
12193,327
12205,326
12216,329
12227,320
12239,331
12251,322
12262,328
12273,326
12284,323
12296,326
12308,322
12319,331
12331,324
12342,330
12353,328
12364,326
12377,332
12388,324
12399,335
12410,330
12422,331
12433,331
12445,328
12456,334
12468,328
12479,337
12490,330
12503,332
12514,334
12525,327
12536,338
12548,330
12559,336
12571,335
12582,332
12594,335
12605,331
12616,339
12627,332
12640,337
12651,334
12662,332
12674,337
12685,331
12696,340
12708,335
12720,338
12731,337
12742,333
12753,336
12765,329
12777,338
12788,331
12800,336
12811,336
12822,330
12834,340
12846,327
12857,340
12868,330
12879,339
12891,331
12903,329
12914,341
12925,333
12937,336
12948,334
12959,334
12972,332
12983,330
12994,340
13005,330
13017,340
13028,337
13040,341
13051,332
13063,334
13074,330
13085,364
13096,340
13109,337
13120,375
13131,331
13143,351
13154,362
13165,291
13177,393
13189,322
13200,321
13211,378
13222,316
13235,357
13246,325
13257,313
13268,326
13280,353
13291,298
13303,331
13315,342
13326,314
13337,336
13348,328
13360,325
13372,333
13383,335
13394,343
13406,290
13417,362
13428,321
13441,299
13452,344
13463,324
13474,327
13486,322
13497,336
13509,308
13520,323
13532,324
13543,323
13554,329
13566,327
13578,322
13589,332
13600,326
13612,338
13623,333
13635,339
13646,340
13658,336
13669,343
13680,332
13691,343
13704,337
13715,339
13726,339
13737,335
13749,341
13760,332
13772,341
13784,336
13795,339
13806,340
13817,331
13829,344
13841,334
13852,342
13863,338
13875,337
13886,340
13897,331
13910,340
13921,332
13932,337
13943,333
13955,334
13967,337
13978,331
13989,340
14001,331
14012,336
14023,337
14035,333
14047,341
14058,333
14069,341
14081,334
14092,336
14104,338
14115,332
14127,341
14138,333
14149,340
14160,335
14173,335
14184,338
14195,330
14206,340
14218,330
14229,339
14241,334
14253,335
14264,336
14275,329
14286,341
14299,329
14310,338
14321,332
14332,332
14344,337
14355,329
14367,340
14379,330
14390,338
14401,332
14412,331
14424,336
14436,329
14447,340
14458,331
14470,336
14481,335
14492,331
14504,335
14516,327
14527,341
14538,330
14550,333
14561,336
14573,330
14584,339
14596,328
14607,340
14618,331
14629,335
14642,338
14653,328
14664,346
14675,327
14687,338
14699,345
14710,324
14722,347
14733,328
14744,349
14755,358
14768,365
14779,368
14790,323
14801,332
14813,345
14824,348
14836,347
14848,337
14859,338
14870,351
14881,334
14893,369
14905,330
14916,320
14927,330
14939,332
14950,355
14961,289
14973,351
14985,345
14996,299
15007,334
15019,330
15031,337
15042,324
15053,319
15065,299
15076,338
15087,314
15099,312
15111,297
15122,349
15133,335
15144,318
15156,320
15168,309
15179,335
15191,322
15202,319
15213,320
15224,322
15237,323
15248,319
15259,325
15270,317
15282,325
15293,315
15305,318
15316,313
15328,295
15339,281
15350,258
15362,258
15374,239
15385,243
15396,239
15408,240
15419,260
15431,259
15442,288
15454,290
15465,305
15476,316
15488,317
15500,338
15511,332
15522,349
15534,349
15545,352
15556,361
15568,353
15580,367
15591,355
15602,367
15613,361
15625,363
15637,367
15648,359
15660,373
15671,361
15682,369
15693,364
15706,360
15717,366
15728,356
15739,371
15751,356
15763,364
15774,361
15785,353
15797,364
15808,351
15819,362
15832,357
15843,358
15854,357
15865,352
15877,360
15888,347
15900,360
15911,349
15923,351
15934,352
15945,344
15956,353
15969,343
15980,353
15991,345
16003,344
16014,350
16025,342
16037,351
16049,341
16060,350
16071,343
16082,339
16094,346
16106,338
16117,346
16129,338
16140,346
16151,342
16163,340
16175,346
16186,336
16197,346
16208,336
16220,342
16232,340
16243,337
16254,346
16266,335
16277,344
16288,336
16301,338
16312,340
16323,331
16334,345
16346,331
16357,341
16369,335
16380,333
16392,334
16403,328
16414,341
16425,330
16438,341
16449,335
16460,332
16472,338
16483,332
16495,344
16506,333
16518,337
16529,349
16540,327
16551,351
16564,362
16575,367
16586,322
16598,339
16609,371
16620,315
16632,354
16644,300
16655,356
16666,306
16677,357
16689,317
16701,303
16712,349
16723,292
16735,312
16746,347
16757,298
16770,334
16781,323
16792,334
16803,301
16815,332
16826,300
16838,341
16849,298
16861,319
16872,302
16883,344
16896,288
16907,289
16918,324
16929,341
16941,316
16952,304
16964,308
16975,295
16987,303
16998,342
17009,300
17020,309
17033,321
17044,303
17055,320
17067,315
17078,312
17089,323
17101,319
17113,330
17124,326
17135,332
17146,333
17158,331
17170,341
17181,332
17192,344
17204,337
17215,340
17227,341
17239,334
17250,347
17261,334
17272,347
17284,339
17296,340
17307,345
17318,336
17330,349
17341,338
17352,347
17364,341
17376,340
17387,346
17398,338
17410,349
17421,341
17433,345
17444,344
17456,340
17467,349
17478,338
17489,349
17502,339
17513,343
17524,344
17536,338
17547,346
17558,337
17570,347
17582,339
17593,340
17604,341
17615,336
17628,346
17639,336
17650,344
17661,338
17673,337
17684,343
17696,334
17708,345
17719,335
17730,344
17741,338
17753,335
17765,341
17776,330
17787,346
17799,333
17810,340
17821,338
17833,334
17845,340
17856,330
17867,343
17879,335
17890,338
17902,338
17913,333
17925,339
17936,332
17947,340
17959,335
17971,337
17982,338
17993,331
18004,343
18016,335
18028,337
18039,333
18051,335
18062,335
18073,328
18084,339
18097,327
18108,338
18119,330
18130,332
18142,337
18153,328
18165,340
18177,330
18188,337
18199,333
18210,330
18222,339
18234,327
18245,342
18256,337
18268,347
18279,352
18290,369
18302,361
18314,301
18325,369
18336,363
18348,330
18360,301
18371,375
18382,321
18394,300
18405,355
18416,327
18428,317
18440,357
18451,292
18462,353
18473,314
18485,310
18497,298
18508,317
18520,327
18531,294
18542,313
18553,317
18566,310
18577,345
18588,270
18599,327
18611,325
18622,307
18634,336
18646,334
18657,302
18668,309
18679,325
18692,293
18703,323
18714,311
18725,319
18737,324
18748,315
18760,327
18771,318
18783,334
18794,329
18805,332
18817,336
18829,330
18840,344
18851,334
18863,346
18874,339
18885,342
18897,341
18909,336
18920,349
18931,339
18942,350
18954,342
18966,343
18977,346
18989,338
19000,352
19011,339
19022,346
19035,343
