timestamp,signal
0,325
10,327
20,332
30,333
40,341
51,334
62,345
72,334
82,347
93,336
103,346
113,334
123,344
135,331
145,336
155,313
165,308
176,282
187,275
197,264
207,269
218,269
228,282
238,290
249,302
260,313
270,318
280,332
290,329
302,343
312,338
322,354
332,345
343,361
354,351
364,365
374,354
385,365
395,358
405,366
416,360
427,367
437,360
447,366
457,362
468,364
479,363
489,363
499,363
509,360
520,364
531,354
541,367
551,353
562,367
572,358
583,367
593,355
604,365
614,353
624,366
634,352
646,360
656,353
666,360
676,352
687,357
698,355
708,351
718,356
729,352
739,354
749,348
760,352
771,345
781,351
791,342
801,349
813,339
823,348
833,337
843,348
854,337
864,346
875,335
885,344
896,336
906,342
916,339
927,338
937,340
948,337
958,341
968,333
979,343
990,335
1000,343
1010,334
1020,343
1032,332
1042,343
1052,330
1062,342
1073,329
1084,342
1094,329
1104,337
1115,331
1126,335
1136,334
1146,335
1157,336
1168,333
1178,339
1188,328
1199,337
1209,328
1220,339
1230,328
1241,339
1251,328
1262,339
1272,326
1283,338
1293,323
1304,336
1314,327
1325,336
1335,331
1345,333
1356,331
1367,332
1377,334
1387,328
1398,334
1409,327
1419,334
1429,324
1440,338
1451,328
1461,337
1471,325
1481,336
1492,325
1503,335
1513,326
1523,335
1534,326
1545,333
1555,331
1565,332
1575,333
1587,330
1597,334
1607,328
1617,336
1629,327
1639,336
1649,323
1659,337
1671,322
1681,336
1691,323
1701,334
1712,324
1723,335
1733,325
1743,333
1754,329
1765,332
1775,329
1785,331
1796,333
1807,329
1817,334
1827,324
1838,336
1848,327
1859,337
1869,326
1880,338
1890,325
1901,336
1911,325
1922,338
1932,329
1943,337
1953,329
1964,336
1974,332
1984,333
1995,332
2006,333
2016,335
2026,332
2037,340
2048,332
2058,340
2068,329
2078,341
2089,329
2100,339
2110,327
2120,336
2131,328
2142,338
2152,335
2162,349
2173,347
2184,352
2194,350
2204,351
2214,350
2226,348
2236,351
2246,348
2256,354
2268,345
2278,353
2288,344
2298,352
2310,341
2320,351
2330,341
2340,351
2351,340
2362,347
2372,340
2382,345
2393,341
2404,344
2414,342
2424,339
2435,340
2446,333
2456,335
2466,330
2477,339
2487,330
2498,338
2508,330
2519,340
2529,328
2540,339
2550,328
2561,339
2571,332
2582,338
2592,331
2603,335
2613,334
2623,332
2634,330
2644,326
2655,333
2665,327
2676,336
