timestamp,signal_jaw,signal_brow
0,344,523
10,344,509
21,346,511
31,346,514
41,343,511
53,342,514
63,344,519
74,342,509
84,344,516
95,341,510
106,343,512
116,344,511
128,343,512
138,339,511
149,344,518
159,342,514
171,341,512
181,341,516
191,338,517
202,341,518
212,341,509
224,338,516
234,340,515
245,338,519
256,337,506
269,338,518
282,338,514
295,343,514
309,345,513
323,331,520
336,337,514
350,333,517
363,336,514
376,334,515
391,335,514
404,334,519
417,337,512
431,336,517
444,336,515
458,335,510
472,339,519
485,338,515
498,337,515
512,336,518
526,337,514
539,336,513
552,333,516
566,332,519
579,332,510
593,330,515
607,330,517
620,330,508
633,328,514
647,330,518
661,332,512
674,330,514
688,332,519
701,332,517
714,334,511
729,330,523
742,331,514
755,331,518
769,331,516
783,331,516
796,327,514
809,333,520
823,329,515
836,331,514
850,329,519
864,329,518
877,327,516
890,328,517
904,327,518
918,327,510
931,324,518
945,328,516
958,326,514
971,328,519
986,324,513
999,332,518
1012,337,515
1027,326,525
1041,325,511
1056,326,520
1071,325,516
1085,324,520
1099,324,511
1114,324,516
1129,324,520
1143,323,519
1158,324,513
1172,321,518
1187,324,522
1202,322,510
1216,321,516
1230,324,518
1245,320,523
1260,320,513
1274,318,518
1289,317,521
1303,322,517
1318,317,510
1333,317,520
1347,316,514
1361,314,512
1376,316,519
1391,316,518
1405,316,515
1420,316,514
1434,319,513
1449,318,520
1464,321,510
1478,320,514
1492,316,513
1507,323,519
1522,318,510
1537,320,516
1551,317,516
1565,321,518
1580,320,506
1595,318,515
1609,320,516
1624,323,509
1638,322,514
1653,325,514
1668,319,513
1682,322,511
1696,321,512
1711,323,518
1726,322,509
1740,322,510
1755,321,512
1769,322,512
1784,327,513
1799,331,505
1813,328,516
1827,321,511
1842,327,505
1857,324,513
1871,326,515
1886,328,509
1900,326,507
1915,323,507
1930,325,516
1944,325,507
1958,327,507
1973,327,518
1988,325,511
2002,328,512
2017,329,506
2031,331,515
2045,336,508
2061,329,508
2075,328,510
2089,327,510
2104,330,513
2119,326,508
2134,326,517
2148,325,518
2162,326,504
2177,328,514
2192,331,516
2206,329,515
2221,328,513
2235,328,508
2250,331,517
2265,328,514
2279,332,513
2293,333,509
2308,334,506
2323,335,505
2337,331,508
2352,338,509
2366,329,513
2381,333,508
2396,320,510
2410,324,519
2424,327,507
2439,328,515
2454,329,511
2468,330,518
2483,329,510
2497,329,515
2511,330,520
2527,332,511
2541,337,512
2555,338,516
2570,338,516
2585,338,513
2599,342,515
2614,350,515
2628,339,515
2642,344,516
2658,339,512
2672,343,517
2686,346,513
2701,343,510
2716,348,517
2731,334,513
2745,342,512
2759,340,512
2774,337,515
2789,345,514
2803,336,508
2818,344,514
2832,342,516
2847,341,511
2862,342,514
2876,340,515
2890,336,513
2905,338,511
2920,335,511
2934,330,522
2949,332,516
2963,334,506
2977,333,513
2993,333,525
3007,340,502
3021,337,512
3036,338,515
3051,340,515
3065,339,505
3080,342,509
3094,343,518
3108,343,508
3124,344,511
3138,345,512
3152,345,513
3167,341,510
3182,342,508
3196,337,516
3211,341,516
3225,342,510
3239,337,509
3255,342,511
3269,341,512
3283,339,511
3298,343,513
3313,339,513
3328,338,512
3342,341,513
3356,346,511
3371,345,512
3386,346,508
3400,342,515
3415,348,512
3429,340,510
3443,350,509
3459,342,506
3473,342,514
3487,344,510
3502,338,508
3517,339,514
3531,339,509
3546,337,512
3560,337,510
3574,336,518
3590,349,510
3604,341,506
3618,335,514
3633,334,513
3648,342,509
3662,333,511
3677,342,513
3691,337,514
3705,341,504
3721,337,510
3735,339,518
3749,341,511
3764,341,503
3779,336,516
3793,342,514
3808,342,504
3822,339,507
3836,334,516
3852,334,514
3866,336,507
3880,333,509
3895,332,513
3909,331,506
3924,331,512
3939,334,512
3953,331,510
3968,336,512
3983,332,511
3997,331,516
4012,333,512
4026,332,508
4040,331,510
4056,330,514
4070,329,511
4084,328,508
4099,329,516
4114,330,509
4128,328,508
4143,330,510
4157,326,514
4171,333,515
4187,332,509
43666,341,511
43681,347,511
43697,346,514
43712,350,515
43728,348,509
43744,347,506
43759,351,516
43774,344,507
43791,347,516
43806,333,512
43822,347,506
43837,326,517
4383791,347,516
43806,333,512
43822,347,506
43837,326,517
43853,335,518
43869,340,506
43884,328,508
43899,339,515
43916,332,513
43931,328,513
43947,340,507
43962,336,508
43977,334,516
43994,343,510
44009,334,510
44024,337,511
44040,340,506
44056,340,517
44071,340,514
44087,350,507
44102,350,513
44119,329,509
44134,348,518
44149,337,515
44165,341,507
44181,339,515
44196,345,514
44212,336,514
44227,341,509
44242,340,513
44259,335,519
44274,341,513
44290,339,514
44305,333,500
44321,338,510
44337,340,510
44352,356,511
44367,336,501
44384,330,505
44399,343,489
44414,322,501
44430,330,485
44446,328,509
44462,332,489
44477,333,467
44492,331,443
44508,333,426
44524,326,395
44539,325,352
44555,326,348
44570,319,392
44587,323,365
44602,328,387
44617,313,379
44633,315,425
44649,304,430
44664,314,446
44680,297,441
44695,308,425
44710,308,436
44727,309,451
44742,310,492
44758,311,458
44773,312,492
44789,312,449
44805,313,491
44820,312,478
44835,316,531
44852,321,477
44867,319,500
44882,325,473
44898,317,528
44914,322,498
44930,328,461
44945,326,489
44960,329,501
44976,326,527
44992,331,501
45007,336,505
45023,340,491
45038,347,506
45054,349,530
45070,355,510
45085,357,644
45101,364,769
45117,367,854
45132,350,940
45148,352,987
45163,352,992
45179,349,995
45195,354,995
45210,354,994
45225,352,992
45241,352,986
45257,352,937
45273,353,908
45288,356,851
45303,353,846
45320,350,811
45335,354,803
45350,354,759
45366,349,735
45382,350,697
45398,344,681
45413,347,648
45428,347,627
45445,349,605
45460,346,578
45475,350,568
45491,343,540
45506,343,522
45522,340,508
45538,336,494
45553,336,472
45569,336,439
45585,334,419
45600,332,399
45616,336,372
45631,336,335
45647,337,323
45663,336,279
45678,337,279
45693,336,264
45709,336,263
45725,338,262
45741,337,274
45756,337,275
45771,337,278
45788,332,228
45803,343,190
45818,342,158
45834,330,146
45850,335,176
45865,328,201
45881,333,192
45896,329,214
45913,330,219
45928,326,239
45943,327,258
45959,324,266
45974,320,297
45990,321,288
46006,321,311
46021,315,354
46036,312,338
46053,317,365
46068,313,346
46084,315,348
46099,309,372
46115,310,387
46131,314,368
46146,309,419
46161,313,405
46178,312,408
46193,314,436
46209,321,424
46224,315,456
46239,316,450
46256,318,462
46271,318,457
46286,322,464
46302,324,469
46318,329,487
46333,332,494
46349,336,510
46364,337,548
46381,337,614
46396,337,659
46411,336,686
46427,336,674
46443,330,702
46458,331,687
46474,332,681
46489,334,675
46504,328,691
46521,341,677
46536,330,688
46552,329,663
46567,328,665
46583,329,663
46599,327,662
46614,327,645
46629,327,649
46646,327,630
46661,328,631
46676,326,619
46692,328,601
46707,327,604
46724,328,597
46739,329,587
46754,329,574
46770,328,560
46786,327,558
46801,323,553
46817,326,540
46832,322,528
46849,323,517
46864,328,514
46879,325,512
46895,327,494
46911,327,504
46926,329,484
46942,326,498
46957,328,513
46972,330,527
46989,331,502
47004,328,461
47020,328,428
47035,327,379
47051,325,356
47067,325,360
47082,323,384
47097,327,385
47114,326,391
47129,327,412
47144,324,382
47160,322,401
47176,327,414
47192,324,411
47207,324,432
47222,328,427
47238,326,430
47254,324,418
47269,327,435
47285,339,452
47300,330,446
47316,325,439
47332,330,466
47347,327,458
47363,329,466
47379,332,459
47394,332,464
47410,333,487
47425,334,474
47441,332,467
47457,334,484
47472,337,492
47488,334,488
47503,336,481
47519,335,498
47535,339,504
47550,339,509
47565,336,515
47582,341,544
47597,338,540
47612,343,540
47628,344,628
47644,345,725
47660,346,725
47675,346,755
47690,349,769
47706,344,774
47722,345,768
47737,347,766
47753,342,745
47768,347,737
47784,343,711
47800,346,724
47815,344,709
47831,344,740
47847,344,729
47862,343,706
47878,346,791
47893,345,857
47909,344,908
47925,344,976
47940,348,977
47955,346,974
47971,346,975
47987,342,967
48003,343,966
48018,343,874
48033,342,783
48050,346,738
48065,342,760
48080,342,758
48096,344,730
48112,355,683
48128,341,674
48143,340,638
48158,344,591
48175,342,544
48190,340,496
48205,345,439
48221,343,394
48236,348,328
48252,345,307
48268,343,302
48283,352,294
48299,348,276
48315,347,273
48330,349,266
48346,346,266
48361,348,251
48377,344,279
48393,341,263
48408,339,303
48423,337,309
48440,338,306
48455,335,294
48471,334,174
48486,328,196
48501,332,201
48518,328,187
48533,329,183
48548,329,234
48564,330,226
48580,329,214
48595,327,221
48611,326,254
48626,326,247
48643,330,276
48658,330,294
48673,325,291
48689,330,300
48704,331,295
48720,329,290
48736,334,312
48751,334,337
48766,325,334
48783,331,329
48798,331,353
48814,329,367
48829,327,376
48845,330,409
48861,329,383
48876,330,373
48891,341,410
48908,336,411
48923,333,441
48939,333,425
48954,338,421
48969,333,428
48986,343,461
49001,342,461
49016,346,471
49032,347,485
49048,348,642
49063,349,662
49079,354,708
49094,356,743
49111,355,865
49126,352,880
49141,352,908
49157,351,934
49173,348,951
49188,345,953
49204,347,967
49219,343,944
49234,343,937
49251,343,909
49266,340,901
49282,342,940
49297,339,912
49313,340,872
49329,340,896
49344,340,884
49359,343,889
49376,338,833
49391,338,856
49406,338,860
49422,337,841
49438,337,836
49454,337,823
49469,335,792
49484,339,749
49500,340,678
49516,340,616
49531,337,525
49547,336,435
49562,335,364
49579,335,317
49594,338,303
49609,336,292
49625,338,284
49641,340,263
49656,347,265
49672,346,260
49687,337,252
49702,342,250
49719,340,255
49734,336,285
49750,339,288
49765,334,312
49781,336,293
49797,334,298
49812,332,302
49827,331,300
49844,332,293
49859,333,281
49874,331,297
49890,331,309
49906,333,326
49922,328,311
49937,322,305
49952,328,307
49968,324,320
49984,323,319
49999,326,322
50015,322,322
50030,324,361
50046,323,360
50062,321,329
50077,312,373
50093,331,399
50109,306,400
50124,309,385
50140,317,357
50155,310,378
50171,314,380
50187,310,388
50202,317,384
50217,314,409
50233,319,431
50249,320,425
50265,317,412
50280,322,422
50295,328,440
50312,330,427
50327,337,448
50342,341,432
50358,345,448
50374,346,470
50390,350,462
50405,351,652
50420,353,644
50437,352,653
50452,365,722
50467,363,753
50483,348,788
50498,352,842
50514,353,872
50530,349,861
50545,348,876
50561,350,869
50577,344,878
50592,345,842
50608,346,861
50623,345,835
50639,344,813
50655,346,828
50670,346,825
50685,348,813
50701,344,770
50717,348,730
50733,340,761
50748,342,768
50763,338,762
50780,342,696
50795,334,736
50810,336,763
50826,341,731
50842,337,730
50857,338,709
50873,338,697
50888,335,678
50905,340,666
50920,337,639
50935,337,583
50951,337,500
50966,335,454
50982,336,426
50998,336,409
51013,335,393
51028,337,391
51045,337,378
51060,337,364
51076,337,379
51091,338,355
51107,337,377
51123,337,361
51138,336,394
51153,337,398
51170,336,407
51185,339,394
51201,339,388
51216,345,382
51231,334,376
51248,333,364
51263,333,238
51278,329,264
51294,333,246
51310,332,250
51325,330,260
51341,329,258
51356,330,279
51373,329,281
51388,330,286
51403,328,298
51419,329,291
