timestamp,signal_jaw,signal_brow
57793,320,510
57808,320,507
57825,325,509
57840,327,514
57856,327,510
57871,329,508
57886,330,510
57903,334,516
57918,335,513
57933,333,513
57949,337,512
57965,336,514
57980,339,520
57996,344,516
58011,339,513
58028,342,512
58043,339,517
58058,344,518
58074,341,516
58089,346,513
58105,338,514
58121,341,520
58136,338,517
58151,341,515
58168,344,514
58183,345,517
58199,358,518
58214,342,515
58230,342,512
58246,344,516
58261,343,519
58276,344,517
58293,343,512
58308,345,513
58323,339,515
58339,342,519
58354,346,517
58371,345,513
58386,347,516
58401,345,519
58417,342,522
58433,347,514
58448,347,516
58464,339,521
58479,343,519
58496,336,517
58511,340,515
58526,339,515
58542,338,516
58558,336,521
58573,339,517
58589,340,515
58604,334,518
58619,336,522
58636,336,518
58651,338,513
58667,334,515
58682,334,520
58698,341,518
58714,331,515
58729,337,514
58744,334,517
58761,333,522
58776,338,516
58791,334,514
58807,337,514
58823,344,519
58839,336,518
58854,448,508
58869,358,516
58885,355,512
58901,291,526
58916,371,529
58932,339,524
58947,356,512
58963,290,518
58979,330,533
58994,315,515
59010,328,519
59026,302,527
59041,338,520
59057,342,521
59072,298,522
59087,334,518
59104,312,522
59119,332,520
59134,327,520
59150,284,515
59166,316,518
59182,314,518
59197,313,518
59212,322,516
59229,323,513
59244,327,518
59259,331,518
59275,318,517
59291,336,513
59307,337,514
59322,335,518
59337,346,518
59353,346,514
59369,362,511
59384,358,512
59400,360,514
59415,358,512
59431,347,509
59447,352,506
59462,338,510
59478,346,512
59494,350,507
59509,338,507
59525,346,507
59540,353,512
59556,327,510
59572,333,506
59587,332,507
59602,331,509
59618,344,512
59634,336,507
59650,327,507
59665,337,508
59680,325,513
59697,347,511
59712,340,510
59727,347,505
59743,325,510
59759,330,512
59774,342,508
59790,343,508
59805,331,511
59822,337,514
59837,333,515
59852,334,508
59868,330,509
59883,337,516
59899,333,512
59915,340,513
59930,339,508
59945,343,511
59962,338,513
59977,339,513
59993,340,509
60008,339,509
60024,341,512
60040,337,515
60055,336,512
60070,331,508
60086,331,510
60102,329,512
60118,328,514
60133,327,510
60148,331,509
60165,320,512
60180,328,512
60195,323,509
60211,326,504
60227,328,508
60242,329,512
60258,321,512
60273,329,502
60290,356,502
60305,403,503
60320,340,520
60336,371,513
60351,310,524
60367,252,518
60383,280,519
60398,277,548
60413,396,528
60430,272,529
60445,315,538
60461,313,542
60476,337,542
60492,281,543
60508,354,541
60523,320,542
60538,320,546
60555,313,539
60570,317,531
60585,317,532
60601,318,535
60616,322,532
60633,326,526
60648,325,521
60663,325,525
60679,324,526
60695,335,521
60710,332,518
60726,336,517
60741,338,520
60758,339,519
60773,341,514
60788,343,514
60804,342,515
60820,339,521
60835,339,517
60851,339,510
60866,333,513
60881,336,517
60898,336,517
60913,339,512
60929,329,510
60944,336,513
60960,336,515
60976,337,515
60991,335,508
61006,335,508
61023,338,511
61038,337,512
61053,339,508
61069,343,506
61084,347,509
61101,341,510
61116,338,506
61131,341,500
61147,338,498
61163,340,500
61178,337,498
61194,339,490
61209,338,483
61225,337,484
61241,339,487
61256,350,485
61272,338,480
61288,329,483
61303,339,487
61319,336,491
61334,335,487
61349,340,485
61366,339,491
61381,337,493
61396,344,494
61412,341,490
61428,346,490
61444,341,496
61459,344,497
61474,342,496
61491,341,497
61506,340,495
61521,334,500
61537,337,503
61553,333,499
61569,333,498
61584,332,503
61599,335,507
61615,329,504
61631,331,502
61646,338,499
61662,338,507
61677,380,505
61693,412,504
61709,274,521
61724,329,524
61740,343,521
61756,324,510
61771,295,517
61787,288,516
61802,352,517
61818,296,527
61834,336,525
61849,286,514
61864,292,510
61880,304,522
61896,286,526
61912,316,520
61927,310,516
61942,311,520
61959,314,522
61974,315,517
61989,326,516
62005,328,519
62021,321,522
62036,341,521
62052,339,518
62067,332,516
62083,335,520
62099,345,520
62114,346,518
62130,352,511
62145,334,516
62161,360,517
62177,345,517
62192,366,512
62208,342,513
62224,361,517
62239,360,516
62255,363,514
62270,347,508
62286,354,512
62302,354,516
62317,339,514
62332,349,513
62348,322,511
62364,330,512
62380,327,519
62395,337,512
62410,337,509
62427,329,510
62442,340,513
62457,335,515
62473,331,515
62489,340,515
62504,316,523
62520,337,529
62535,331,530
62552,334,525
62567,326,529
62582,338,535
62598,330,532
62613,326,528
62629,337,524
62645,332,527
62660,336,532
62675,335,526
62692,332,525
62707,336,521
62723,337,525
62738,337,528
62754,344,522
62770,341,516
62785,331,521
62800,347,525
62817,346,523
62832,336,513
62848,339,512
62863,338,511
62878,332,508
62895,333,502
62910,332,497
62925,337,497
62941,337,503
62957,335,503
62972,342,499
62988,338,499
63003,343,503
63020,343,503
63035,345,502
63050,343,499
63066,345,500
63081,339,507
63097,337,506
63113,338,503
63128,328,503
63143,364,504
63160,359,507
63175,355,503
63191,330,507
63206,363,507
63222,362,518
63238,285,511
63253,285,500
63268,355,510
63285,287,527
63300,400,503
63315,270,508
63331,323,521
63346,298,519
63363,311,515
63378,334,514
63393,304,520
63409,318,515
63425,305,516
63440,310,519
63456,313,518
63471,319,515
63488,318,515
63503,317,516
63518,326,519
63534,330,513
63550,318,512
63565,323,514
63581,320,518
63596,319,515
63611,319,509
63628,325,510
63643,326,514
63659,330,515
63674,338,512
63690,330,509
63706,339,511
63721,331,515
63736,338,513
63753,338,508
63768,339,510
63783,334,515
63799,331,515
63815,333,513
63831,334,509
63846,329,511
63861,325,517
63877,332,515
63893,328,510
63908,330,508
63924,329,511
63939,324,516
63955,330,511
63971,337,510
63986,328,514
64002,325,514
64018,334,516
64033,331,512
64049,331,509
64064,333,512
64079,331,516
64096,330,514
64111,334,511
64126,336,511
64142,334,515
64158,336,516
64174,333,513
64189,334,511
64204,335,512
64221,333,515
64236,332,515
64251,338,509
64267,333,509
64283,334,514
64299,345,515
64314,338,511
64329,328,512
64345,330,511
64361,326,515
64376,328,513
64392,331,509
64407,325,511
64423,331,513
64439,328,517
64454,330,513
64470,331,510
64486,329,509
64501,327,512
64517,331,515
64532,328,511
64548,328,510
64564,325,511
64579,351,509
64594,409,521
64610,354,516
64626,411,509
64642,338,505
64657,329,515
64672,300,517
64689,341,514
64704,312,521
64719,339,521
64735,279,525
64751,316,514
64766,327,515
64782,302,517
64797,306,518
64814,310,513
64829,316,508
64844,311,517
64860,326,522
64875,320,521
64891,325,520
64907,323,523
64922,326,527
64937,328,530
64954,333,529
64969,330,527
64985,334,531
65000,334,537
65016,338,535
65032,346,531
65047,339,532
65062,341,534
65078,347,532
65094,343,528
65110,345,523
65125,344,525
65140,343,527
65157,341,525
65172,344,521
65187,342,520
65203,342,523
65219,352,521
65234,349,517
65250,337,515
65265,346,516
65282,343,520
65297,345,517
65312,342,514
65328,342,512
65343,347,515
65359,342,518
65375,346,515
65390,348,511
65405,347,515
65422,343,516
65437,349,516
65453,345,511
65468,350,509
65484,343,513
65500,343,514
65515,341,514
65530,343,509
65547,341,509
65562,344,512
65577,340,515
65593,340,510
65608,340,507
65625,344,510
65640,336,514
65655,340,509
65671,339,507
65687,340,508
65702,338,509
65718,335,509
65733,336,502
65750,335,496
65765,329,497
65780,334,497
65796,331,495
65812,332,487
65827,330,487
65843,330,491
65858,330,491
65873,331,487
65890,329,484
65905,337,490
65921,339,494
65936,342,490
65952,312,491
65968,392,484
65983,358,489
65998,316,491
66015,338,498
66030,276,506
66045,361,489
66061,293,516
66076,298,518
66093,380,502
66108,269,499
66123,350,506
66139,301,507
66155,308,508
66170,321,512
66186,313,510
66201,326,511
66217,310,515
66233,321,509
66248,322,508
66264,319,513
