timestamp,signal_jaw,signal_brow
0,341,537
10,335,515
21,339,527
31,335,524
41,336,525
53,336,531
63,333,527
74,334,528
84,331,535
95,334,529
106,329,531
116,335,530
128,331,532
138,332,539
149,328,532
159,329,539
171,324,534
181,326,536
191,326,537
202,327,544
212,327,530
224,326,549
234,324,534
245,326,542
256,326,542
269,327,541
282,324,543
295,324,538
309,329,544
323,324,545
336,326,539
350,325,542
363,326,542
376,325,541
391,328,545
404,326,541
417,326,545
431,327,541
444,325,543
458,328,541
472,327,539
485,327,540
498,328,543
512,330,534
526,328,541
539,328,537
552,327,541
566,330,536
579,328,545
593,330,530
607,331,542
620,328,538
633,332,543
647,337,536
661,341,543
674,329,536
688,331,540
701,333,538
714,334,537
729,336,542
742,330,539
755,334,535
769,334,538
783,333,536
796,332,535
809,334,532
823,332,537
836,334,530
850,338,530
864,333,538
877,338,533
890,336,527
904,338,533
918,339,529
931,334,528
945,334,528
958,337,531
971,339,526
986,337,530
999,338,520
1012,340,521
1027,339,524
1041,341,527
1056,341,522
1071,341,520
1085,342,525
1099,343,522
1114,342,523
1129,342,520
1143,343,528
1158,341,527
1172,343,517
1187,341,523
1202,341,524
1216,345,522
1230,339,523
1245,341,524
1260,334,528
1274,335,520
1289,334,523
1303,332,525
1318,333,526
1333,331,520
1347,332,528
1361,331,527
1376,333,526
1391,333,523
1405,338,522
1420,328,530
1434,327,521
1449,326,522
1464,324,527
1478,325,521
1492,325,521
1507,324,524
1522,325,530
1537,323,527
1551,324,525
1565,324,530
1580,324,526
1595,322,520
1609,322,530
1624,325,525
1638,320,528
1653,320,530
1668,316,529
1682,317,533
1696,317,525
1711,315,533
1726,316,527
1740,316,534
1755,315,524
1769,315,528
1784,315,534
1799,314,530
1813,313,524
1827,314,533
1842,313,534
1857,315,522
1871,315,529
1886,315,528
1900,315,538
1915,316,527
1930,316,535
1944,313,532
1958,317,527
1973,316,530
1988,318,527
2002,316,539
2017,318,530
2031,321,531
2045,316,527
2061,320,538
2075,317,525
2089,317,526
2104,318,538
2119,320,525
2134,319,529
2148,325,531
2162,332,531
2177,323,528
2192,322,526
2206,323,534
2221,324,526
2235,329,530
2250,326,525
2265,326,536
2279,329,526
2293,329,528
2308,329,525
2323,331,530
2337,331,524
2352,331,524
2366,335,527
2381,336,527
2396,333,528
2410,336,526
2424,337,524
2439,332,534
2454,330,523
2468,332,531
2483,331,536
2497,330,525
2511,331,529
2527,330,527
2541,331,528
2555,332,524
2570,332,525
2585,330,534
2599,331,524
2614,330,527
2628,328,538
2642,330,524
2658,331,525
2672,330,524
2686,330,531
2701,332,524
2716,332,532
2731,330,521
2745,332,528
2759,332,526
2774,334,526
2789,333,523
2803,331,530
2818,332,525
2832,329,526
2847,333,530
2862,334,528
2876,334,529
2890,333,532
2905,337,530
2920,349,530
2934,340,530
2949,336,532
2963,337,538
2977,338,529
2993,341,530
3007,336,536
3021,342,534
3036,341,528
3051,340,531
3065,342,531
3080,338,534
3094,342,523
3108,344,532
3124,342,527
3138,343,535
3152,342,523
3167,341,524
3182,346,534
3196,337,527
3211,344,529
3225,333,530
3239,342,533
3255,342,519
3269,341,529
3283,338,531
3298,344,527
3313,342,521
3328,340,527
3342,342,529
3356,338,524
3371,340,528
3386,347,526
3400,340,526
3415,347,521
3429,335,527
3443,338,529
3459,339,530
3473,341,523
3487,340,526
3502,340,527
3517,339,531
3531,337,521
3546,342,526
3560,341,526
3574,340,525
3590,336,527
3604,340,537
3618,343,519
3633,338,524
3648,339,526
3662,336,530
3677,347,530
3691,351,521
3705,341,528
3721,340,531
3735,340,521
3749,336,531
3764,340,531
3779,342,526
3793,336,519
3808,339,532
3822,341,523
3836,345,530
3852,341,519
3866,336,532
3880,340,524
3895,339,525
3909,341,529
3924,344,525
3939,339,523
3953,336,522
3968,338,527
3983,336,529
3997,336,521
4012,339,524
4026,332,530
4040,341,530
4056,336,523
4070,338,523
4084,339,533
4099,344,524
4114,339,531
4128,341,520
4143,338,528
4157,341,525
4171,343,528
