timestamp,signal
0,346
10,352
20,348
30,346
40,352
51,347
62,348
72,345
82,345
93,344
103,341
113,341
123,340
135,347
145,344
155,344
165,343
176,341
187,346
197,337
207,340
218,341
228,338
238,335
249,343
260,335
270,336
280,334
290,340
302,333
312,335
322,333
332,330
343,330
354,325
364,321
374,327
385,330
395,328
405,328
416,325
427,334
437,326
447,325
457,329
468,330
479,327
489,328
499,328
509,331
520,331
531,330
541,333
551,335
562,330
572,329
583,330
593,330
604,329
614,325
624,331
634,329
646,331
656,331
666,322
676,334
687,325
698,330
708,322
718,333
729,326
739,324
750,328
760,323
771,323
781,319
791,308
801,316
813,320
823,322
833,317
843,325
854,312
865,322
875,321
885,319
896,326
906,324
916,322
927,321
937,329
948,331
958,323
968,329
979,331
990,326
1000,330
1010,337
1020,324
1032,333
1042,337
1052,340
1062,328
1074,337
1084,330
1094,334
1104,336
1115,337
1126,336
1136,348
1146,347
1157,351
1168,356
1178,356
1188,357
1199,354
1210,356
1220,350
1230,352
1241,360
1251,352
1262,347
1272,351
1283,351
1293,353
1304,350
1314,347
1325,348
1335,346
1346,348
1356,342
1367,339
1377,337
1387,338
1398,344
1409,341
1419,341
1429,347
1440,340
1451,339
1461,344
1471,342
1481,334
1492,339
1503,340
1513,341
1523,338
1534,332
1545,346
1555,338
1565,337
1576,340
1587,337
1597,344
1607,334
1617,338
1629,340
1639,341
1649,333
1659,337
1671,338
1681,338
1691,335
1701,337
1713,338
1723,330
1733,338
1743,333
1754,343
1765,334
1775,333
1785,334
1796,336
1807,337
1817,332
1827,334
1838,335
1849,336
1859,333
1869,333
1880,335
1890,327
1901,335
1911,335
1922,330
1932,331
1943,333
1953,331
1964,334
1974,329
1984,336
1995,329
2006,331
2016,333
2026,333
2037,325
2048,331
2058,334
2068,334
2079,333
2089,333
2100,331
2110,329
2120,331
2131,329
2142,329
2152,331
2162,336
2173,331
2184,336
2194,335
2204,334
2215,334
2226,332
2236,335
2246,335
2256,337
2268,327
2278,326
2288,326
2298,328
2310,328
2320,329
2330,328
2340,332
2352,329
2362,330
2372,335
2382,330
2393,329
2404,328
2414,329
2424,327
2435,328
2446,327
2456,327
2466,330
2477,327
2488,336
2498,331
2508,331
2519,332
2529,331
2540,333
2550,333
2561,332
2571,331
2582,335
2592,333
2603,331
2613,332
2623,331
2634,334
2644,334
2655,335
2665,331
2676,334
2686,333
2697,338
2707,335
2718,333
2728,332
2739,338
2749,338
2759,332
2770,339
2781,325
2791,307
2801,312
2812,311
2823,317
2833,306
2843,319
2854,313
2865,321
2875,323
2885,329
2895,322
2907,327
2917,331
2927,326
2937,324
2949,329
2959,324
2969,325
2979,323
2991,324
3001,323
3011,325
3021,322
3032,330
3043,327
3053,325
3063,327
3074,328
3085,330
3095,334
3105,331
3116,329
3126,328
3137,328
3147,327
3158,327
3168,332
3179,330
3189,328
3200,333
3210,328
3221,332
3231,323
3241,336
3252,328
3262,329
3273,329
3283,332
3294,329
3304,331
3315,330
3325,334
3336,331
3346,330
3357,331
3367,333
3378,331
3388,335
3398,335
3409,345
3420,350
3430,355
3440,349
3451,355
3462,348
3472,351
3482,352
3493,350
3504,343
3514,354
3524,338
3534,349
3546,352
3556,346
3566,343
3576,335
3588,338
3598,332
3608,332
3618,350
3630,333
3640,332
3650,331
3660,343
3671,327
3682,344
3692,337
3702,339
3713,336
3724,330
3734,334
3744,326
3755,353
3765,354
3776,327
3786,346
3796,341
3807,349
3818,341
3828,348
3838,338
3849,347
3860,341
3870,348
3880,343
3891,345
3901,348
3912,344
3922,343
3933,352
3943,343
3954,352
3964,339
3975,355
3985,348
3996,353
4006,338
4017,356
4027,339
4037,350
4048,337
4059,340
4069,328
4079,337
4090,334
4101,328
4111,334
4121,328
4132,326
4143,325
4153,325
4163,326
4173,326
4185,321
4195,325
4205,325
4215,320
4227,327
4237,325
4247,326
4257,323
4268,324
4279,324
4289,326
4299,325
4310,321
4321,319
4331,316
4341,327
4352,325
4363,327
4373,324
4383,322
4393,376
37659,371
37670,375
37682,372
37693,367
37704,362
37715,371
37728,369
37739,371
37750,370
37762,372
37728,369
37739,371
37750,370
37762,372
37728,369
37739,371
37750,370
37762,372
37773,367
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,37
37784,362
37796,363
37808,366
37819,359
37830,360
37841,361
37853,358
37865,354
37876,357
37888,354
37899,354
37910,352
37922,350
37934,354
37945,354
37956,350
37967,346
37979,354
37991,352
38002,347
38013,348
38025,352
38036,346
38047,343
38060,341
38071,346
38082,345
38093,340
38105,336
38116,343
38128,343
38139,333
38151,328
38162,328
38173,335
38184,332
38197,329
38208,324
38219,336
38231,329
38242,330
38253,330
38265,333
38277,333
38288,331
38299,330
38310,339
38323,337
38334,336
38345,327
38356,330
38368,348
38379,339
38391,370
38403,338
38414,363
38425,296
38436,339
38448,321
38460,364
38471,318
38482,321
38494,356
38505,337
38516,317
38529,337
38540,340
38551,348
38562,336
38574,338
38585,316
38597,332
38608,317
38620,340
38631,326
38642,353
38654,282
38666,334
38677,329
38688,320
38700,334
38711,320
38723,303
38734,330
38746,310
38757,325
38768,323
38779,318
38792,315
38803,314
38814,318
38825,317
38837,318
38848,318
38860,318
38872,319
38883,319
38894,320
38905,320
38917,323
38929,325
38940,323
38951,325
38963,325
38974,322
38985,326
38998,328
39009,327
39020,327
39031,328
39043,326
39055,328
39066,328
39077,325
39089,329
39100,329
39111,327
39123,330
39135,329
39146,330
39157,328
39169,331
39180,329
39192,333
39203,331
39215,331
39226,324
39237,325
39248,329
39261,329
39272,331
39283,333
39294,333
39306,333
39317,335
39329,333
39341,331
39352,333
39363,333
39374,333
39387,331
39398,332
39409,334
39420,333
39432,331
39443,333
39455,332
39467,332
39478,332
39489,333
39500,337
39512,335
39524,333
39535,337
39546,333
39558,333
39569,338
39580,343
39592,329
39604,331
39615,332
39626,332
39638,334
39649,334
39661,342
39672,329
39684,335
39695,351
39706,341
39717,339
39730,352
39741,348
39752,324
39763,368
39775,317
39787,381
39798,355
39810,290
39821,357
39832,320
39843,378
39856,313
39867,317
39878,344
39889,311
39901,368
39912,307
39924,327
39936,337
39947,339
39958,322
39969,325
39981,317
39993,346
40004,320
40015,325
40027,312
40038,336
40049,311
40061,320
40073,317
40084,327
40095,330
40107,316
40118,324
40130,323
40141,320
40153,320
40164,319
40175,320
40187,321
40199,324
40210,325
40221,326
40232,331
40244,331
40256,329
40267,332
40279,329
40290,333
40301,334
40312,331
40325,335
40336,333
40347,334
40358,333
40370,335
40381,334
40393,335
40404,335
40416,337
40427,336
40438,337
40450,333
40462,335
40473,337
40484,335
40496,334
40507,338
40519,336
40530,334
40542,338
40553,338
40564,338
40576,335
40588,337
40599,336
40610,336
40622,337
40633,336
40644,337
40656,337
40668,337
40679,336
40690,335
40701,336
40713,333
40725,339
40736,339
40748,336
40759,341
40770,337
40781,337
40794,337
40805,340
40816,338
40827,340
40839,341
40851,344
40862,336
40873,343
40885,352
40896,349
40907,346
40920,341
40931,362
40942,377
40953,293
40965,377
40976,307
40988,313
40999,356
41011,298
41022,350
41033,350
41044,331
41057,343
41068,309
41079,370
41091,295
41102,328
41113,327
41125,335
41137,324
41148,340
41159,297
41170,363
41182,294
41194,327
41205,321
41217,312
41228,326
41239,307
41251,308
41263,323
41274,316
41285,315
41296,318
41308,316
41320,316
41331,315
41342,316
41354,318
41365,318
41376,318
41389,320
41400,325
41411,325
41422,328
41434,330
41445,329
41457,333
41468,333
41480,332
41491,336
41502,334
41513,332
41526,335
41537,332
41548,334
41560,332
41571,335
41583,336
41594,335
41606,335
41617,339
41628,336
41639,336
41652,336
41663,339
41674,337
41686,336
41697,337
41708,338
41720,339
41732,334
41743,328
41754,332
41765,336
41777,337
41789,339
41800,339
41811,337
41823,340
41834,341
41845,340
41858,339
41869,342
41880,340
41891,339
41903,338
41914,340
41926,340
41937,340
41949,340
41960,339
41971,337
41984,339
41995,338
42006,337
42017,337
42029,340
42040,337
42052,337
42063,339
42075,340
42086,340
42097,337
42108,340
42121,340
42132,340
42143,339
42155,340
42166,336
42177,339
42189,338
42201,339
42212,341
42223,350
42234,350
42246,331
42258,333
42269,354
42280,387
42292,316
42303,402
42314,309
42327,348
42338,308
42349,312
42360,344
42372,353
42384,326
42395,301
42406,330
42418,342
42429,357
42440,318
42452,317
42464,326
42475,359
42486,294
42498,363
42509,283
42521,368
42532,290
42544,327
42555,306
42566,310
42577,335
42590,290
42601,316
42612,306
42624,317
42635,310
42646,315
42658,317
42670,304
42681,309
42692,310
42703,311
42716,313
42727,313
42738,313
42749,310
42761,307
42772,300
42784,283
42796,267
42807,264
42818,265
42829,270
42841,275
42853,289
42864,300
42875,304
42887,314
42898,320
42909,325
42921,328
42933,331
42944,337
42955,338
42967,345
42978,347
42990,349
43001,352
43013,351
43024,352
43035,352
43047,354
43059,352
43070,354
43081,353
43092,354
43104,355
43116,353
43127,356
43139,354
43150,356
43161,354
43172,355
43185,354
43196,357
43207,352
43218,353
43230,352
43241,353
43253,353
43265,348
43276,351
43287,352
43298,354
43310,350
43322,350
43333,354
43344,350
43356,351
43367,351
43378,352
43390,351
43402,353
43413,351
43424,343
43436,342
43448,347
43459,348
43470,347
43482,348
43493,347
43504,347
43516,350
43528,350
43539,355
43550,362
43561,355
43573,333
43585,365
43596,328
43608,377
43619,330
43630,317
43641,342
43654,319
43665,322
43676,363
43687,320
43699,335
43710,317
43722,336
43734,323
43745,320
43756,326
43767,303
43780,319
43791,296
43802,329
43813,317
43825,306
43836,321
43848,309
43859,322
43871,286
43882,302
43893,310
43905,304
43917,302
43928,285
43939,310
43951,310
43962,293
43973,316
43985,283
43997,304
44008,296
44019,305
44030,302
44042,306
44054,302
44065,305
44077,306
44088,308
44099,308
44110,314
44123,315
44134,318
44145,318
44156,321
44168,324
44180,329
44191,329
44203,332
44214,335
44225,336
44236,337
44249,338
44260,339
44271,336
44282,341
44294,341
44305,343
44317,343
44328,340
44340,341
44351,336
44362,343
44374,344
44386,346
44397,346
44408,349
44420,349
44431,348
44442,351
44454,350
44466,349
44477,352
44488,351
44499,352
44512,352
44523,350
44534,352
44546,349
44557,352
44568,351
44580,348
44592,349
44603,350
44614,350
44625,347
44637,351
44649,350
44660,349
44672,350
44683,347
44694,348
44705,348
44718,350
44729,349
44740,347
44751,348
44763,348
44774,347
44786,345
44797,346
44809,346
44820,346
44831,346
44843,343
44855,343
44866,343
44877,346
44889,342
44900,345
44912,343
44923,345
44935,344
44946,343
44957,343
44968,343
44981,341
44992,340
45003,340
45015,342
45026,338
45037,342
45049,343
45061,351
45072,338
45083,350
45094,339
45106,376
45118,300
45129,350
45140,367
45152,336
45163,266
45174,364
45187,320
45198,303
45209,326
45220,337
45232,288
45243,333
45255,310
45266,326
45278,301
45289,321
45300,297
45313,321
45324,314
45335,296
45346,321
45358,316
45369,305
45381,334
45392,277
45404,339
45415,274
45426,307
45437,309
45450,308
45461,304
45472,307
45484,292
45495,321
45506,295
45518,329
45530,283
45541,314
45552,307
45563,310
45575,313
45587,313
45598,313
45609,315
45621,313
45632,316
45644,317
45656,320
45667,322
45678,324
45689,328
45701,328
45713,330
45724,330
45735,333
45747,335
45758,336
45769,337
45782,337
45793,342
45804,338
45815,340
45827,341
45838,343
45850,341
45861,342
45873,342
45884,345
45895,346
45906,345
45919,345
45930,347
45941,348
45953,348
45964,350
45976,350
45987,352
45999,350
46010,352
46021,345
46032,343
46045,346
46056,351
46067,350
46078,350
46090,352
46101,353
46113,352
46125,355
46136,354
46147,350
46158,352
46170,349
46182,350
46193,348
46204,349
46216,349
46227,348
46238,347
46251,347
46262,345
46273,345
46284,345
46296,346
46307,344
46319,345
46330,347
46342,346
46353,346
46364,345
46376,347
46388,344
46399,346
46410,346
46422,344
46433,345
46445,345
46456,343
46468,344
46479,344
46490,342
46501,343
46514,342
46525,342
46536,341
46547,342
46559,342
46570,339
46582,339
46594,343
46605,337
46616,341
46627,340
46639,342
46651,340
46662,338
46673,333
46685,358
46696,334
46708,333
46720,361
46731,325
46742,331
46753,349
46765,372
46777,342
46788,354
46799,307
46811,343
46822,351
46833,325
46845,308
46857,309
46868,339
46879,324
46891,323
46902,313
46914,316
46925,340
46937,291
46948,327
46959,319
46970,300
46983,311
46994,305
47005,306
47016,298
47028,309
47039,306
47051,316
47063,287
47074,298
47085,304
47096,300
47109,304
47120,303
47131,302
47142,303
47154,309
47165,308
47177,309
47188,311
47200,311
47211,315
47222,316
47234,322
47246,318
47257,321
47268,324
47280,326
47291,323
47302,326
47314,325
47326,327
47337,331
47348,329
47360,333
47371,331
47383,333
47394,334
47406,334
47417,334
47428,338
47440,336
47452,340
47463,337
47474,338
47485,339
47497,337
47509,339
47520,339
47532,342
47543,342
47554,342
47565,343
47578,341
47589,343
47600,341
47611,343
47623,346
47634,348
47646,344
47657,346
47669,341
47680,337
47691,341
47703,342
47715,346
47726,345
47737,346
47749,346
47760,345
47771,346
47783,348
47795,346
47806,348
47817,348
47828,347
47841,348
47852,345
47863,344
47875,345
47886,346
47897,346
47909,344
47921,344
47932,345
47943,346
47954,345
47966,344
47978,348
47989,346
48001,348
48012,347
48023,345
48034,347
48047,345
48058,345
48069,349
48080,345
48092,374
48103,343
48115,396
48126,330
48138,301
48149,346
48160,344
48173,355
48184,339
48195,326
48206,316
48218,360
48229,317
48241,310
48252,315
48264,312
48275,313
48286,307
48297,314
48310,311
48321,309
48332,294
48344,315
48355,294
48366,306
48378,303
48390,284
48401,313
48412,288
48423,323
48435,281
48447,302
48458,289
48470,298
48481,300
48492,306
48503,285
48516,294
48527,294
48538,302
48549,303
48561,304
48573,306
48584,308
48595,311
48607,307
48618,305
48629,304
48642,293
48653,287
48664,288
48675,294
48687,288
48698,290
48710,287
48721,283
48733,284
48744,290
48755,300
48766,309
48779,316
48790,327
48801,332
48813,338
48824,340
48835,347
48847,348
48859,351
48870,353
48881,359
48892,360
48905,364
48916,364
48927,365
48939,364
48950,371
48961,367
48973,370
48985,369
48996,368
49007,370
49018,370
49030,370
49042,371
49053,370
49064,372
49076,369
49087,372
49098,366
49111,367
49122,369
49133,365
49144,367
49156,367
49167,366
49179,367
49190,363
49202,363
49213,365
49224,363
49235,365
49248,363
49259,366
49270,363
49282,361
49293,360
49305,359
49316,360
49328,360
49339,358
49350,350
49361,352
49374,356
49385,357
49396,357
49408,356
49419,357
49430,354
49442,350
49454,349
49465,349
49476,351
49487,348
49499,350
49511,347
49522,348
49533,346
49545,345
49556,353
49567,346
49580,353
49591,354
49602,336
49613,350
49625,366
49637,360
49648,384
49659,281
49671,359
49682,325
49693,309
49705,289
49717,300
49728,290
49739,295
49751,275
49762,291
49774,310
49785,223
49797,305
49808,229
49819,271
49830,285
49843,279
49854,256
49865,274
49876,293
49888,260
49899,261
49911,294
49923,256
49934,280
49945,290
49956,273
49968,271
49980,299
49991,305
50002,254
50014,285
50025,278
50037,291
50049,285
50060,289
50071,295
50082,291
50094,296
50106,291
50117,303
50128,300
50140,296
50151,300
50162,297
50174,294
50186,293
50197,288
50208,296
50220,304
50231,314
50243,325
50254,335
50266,341
50277,341
50288,350
50299,351
50312,354
50323,356
50334,362
50345,361
50357,365
50368,353
50380,359
50392,353
50403,358
50414,359
50425,357
50438,356
50449,361
50460,358
50471,358
50483,359
50494,361
50506,359
50518,359
50529,357
50540,355
50551,350
50563,340
50575,333
50586,322
50597,313
50609,304
50620,291
50631,292
50643,289
50655,292
50666,297
50677,304
50689,316
50700,330
50712,336
50723,352
50735,359
50746,371
50757,383
50769,389
50781,398
50792,399
50803,407
50814,411
50826,410
50838,413
50849,413
50861,408
50872,407
50883,405
50894,403
50907,401
50918,402
50929,399
50940,399
50952,393
50963,391
50975,390
50987,388
50998,386
51009,380
51020,379
51032,380
51044,387
51055,385
51066,385
51078,382
51089,385
51101,383
51112,380
51124,380
51135,376
51146,375
51158,375
51170,368
51181,370
51192,371
51204,359
51215,379
51226,366
51238,359
51250,347
51261,361
51272,368
51283,378
51295,310
51307,327
51318,324
51330,320
51341,288
51352,308
51363,258
51376,304
51387,270
51398,282
51409,289
51421,240
51432,283
51444,260
51456,271
51467,256
51478,268
51489,279
51502,282
51513,260
51524,281
51535,270
51547,269
51558,282
51570,289
51581,262
51593,267
51604,274
51615,278
51627,280
51639,270
51650,273
51661,273
51673,274
51684,282
51695,280
51707,282
51719,283
51730,288
51741,291
51752,296
51764,296
51776,300
51787,302
51799,311
51810,307
51821,307
51833,310
51845,318
51856,319
51867,331
51878,324
51890,328
51902,336
51913,337
51924,338
51936,342
51947,338
51958,342
51971,344
51982,342
51993,347
52004,348
52016,349
52027,348
52039,350
52050,349
52062,348
52073,346
52084,340
52096,331
52108,330
52119,311
52130,305
52142,296
52153,295
52164,297
52176,303
52188,315
52199,330
52210,348
52221,364
52234,375
52245,390
52256,398
52268,405
52279,407
52290,408
52302,407
52314,405
52325,404
52336,403
52347,402
52359,398
52371,397
52382,396
52393,397
52405,392
52416,392
52427,389
52440,387
52451,385
52462,384
52473,381
52485,385
52496,378
52508,377
52519,379
52531,378
52542,377
52553,375
52566,375
52577,375
52588,371
52599,367
52611,360
52622,360
52634,366
52645,363
52657,360
52668,360
52679,360
52690,360
52703,358
52714,368
52725,362
52737,353
52748,359
52759,353
52771,377
52783,367
52794,326
52805,382
52816,322
52828,351
52840,327
52851,361
52862,317
52874,331
52885,322
52896,330
52909,309
52920,303
52931,330
52942,315
52954,260
52966,325
52977,276
52988,310
53000,293
53011,272
53022,289
53035,307
53046,282
53057,295
53068,294
53080,289
53091,278
53103,289
53114,288
53126,285
53137,289
53148,284
53159,281
53172,286
53183,288
53194,288
53206,292
53217,293
53228,292
53240,295
53252,301
53263,302
53274,304
53285,308
53298,309
53309,310
53320,314
53331,317
53343,320
53354,320
53366,322
53378,318
53389,322
53400,328
53411,328
53423,331
53435,329
53446,335
53457,332
53469,337
53480,336
53491,336
53504,339
53515,338
53526,343
53537,340
53549,343
53560,343
53572,343
53583,341
53595,340
53606,343
53617,343
53628,347
53641,344
53652,345
53663,347
53675,346
53686,346
53698,347
53709,347
53721,346
53732,349
53743,345
53754,348
53767,348
53778,345
53789,348
53800,349
53812,348
53823,347
53835,346
53847,346
53858,348
53869,343
53880,346
53892,345
53904,344
53915,346
53926,344
53938,347
53949,343
53960,348
53972,346
53984,347
53995,348
54006,345
54018,347
54030,349
54041,347
54052,345
54064,354
54075,351
54086,336
54098,334
54110,330
54121,349
54132,368
54144,350
54155,371
54167,311
54178,311
54190,342
54201,275
54212,293
54223,294
54236,253
54247,228
54258,282
54269,254
54281,241
54292,234
54304,177
54316,225
54327,191
54338,188
54349,184
54361,172
54373,171
54384,198
54395,175
54407,164
54418,213
54430,162
54441,210
54453,166
54464,184
54475,209
54487,184
54499,195
54510,214
54521,207
54533,212
54544,217
54555,233
54567,244
54579,243
54590,260
54601,270
54612,285
54624,290
54636,299
54647,306
54659,312
54670,316
54681,317
54692,323
54705,331
54716,334
54727,340
54738,344
54750,348
54762,355
54773,350
54785,359
54796,361
54807,361
54818,359
54831,348
54842,344
54853,338
54864,333
54876,326
54887,316
54899,309
54910,314
54922,319
54933,320
54944,324
54956,330
54968,328
54979,334
54990,338
55002,336
55013,343
55024,345
55036,348
55048,352
55059,352
55070,351
55081,357
55093,359
55105,366
55116,373
55128,382
55139,393
55150,407
55162,416
55174,426
55185,443
55196,448
55207,455
55219,466
55231,468
55242,473
55254,476
55265,479
55276,477
55287,478
55300,475
55311,468
55322,466
55333,463
55345,454
55356,453
55368,449
55379,449
55391,442
55402,440
55413,438
55425,437
55437,436
55448,422
55459,430
55471,431
55482,418
55493,413
55505,412
55517,408
55528,412
55539,413
55550,417
55563,408
55574,431
55585,406
55597,373
55608,397
55619,397
55631,355
55643,360
55654,368
55665,333
55676,296
55688,332
55700,273
55711,283
55723,262
55734,272
55745,279
55756,273
55769,282
55780,267
55791,303
55802,261
55814,274
55825,269
55837,310
55848,261
55860,287
55871,281
55882,293
55895,295
55906,277
55917,303
55928,287
55940,292
55951,295
55963,275
55974,301
55986,308
55997,283
56008,318
56019,287
56032,317
56043,300
56054,294
56066,315
56077,285
56088,326
56100,301
56112,303
56123,322
56134,320
56145,293
56157,316
56169,314
56180,318
56192,317
56203,320
56214,320
56226,323
56238,318
56249,313
56260,309
56271,300
56283,293
56295,292
56306,280
56317,276
56329,273
56340,276
56351,275
56364,282
56375,289
56386,297
56397,312
56409,318
56420,334
56432,340
56443,348
56455,350
56466,363
56477,376
56488,382
56501,390
56512,386
56523,395
56535,391
56546,395
56557,393
56569,392
56581,390
56592,390
56603,392
56614,389
56627,388
56638,388
56649,391
56660,385
56672,385
56683,388
56695,379
56707,381
56718,381
56729,389
56740,384
56752,382
56764,382
56775,381
56786,376
56798,379
56809,378
56820,376
56833,376
56844,376
56855,376
56866,369
56878,372
56889,370
56901,368
56912,367
56924,367
56935,363
56946,361
56958,362
56970,361
56981,358
56992,357
57004,357
57015,351
57027,360
57038,349
57050,349
57061,359
57072,329
57083,363
57096,365
57107,339
57118,344
57129,348
57141,319
57152,350
57164,328
57176,331
57187,302
57198,291
57209,273
57221,287
57233,274
57244,223
57255,264
57267,245
57278,272
57289,279
57302,267
57313,273
57324,286
57335,278
57347,306
57359,278
57370,311
57381,292
57393,279
57404,303
57415,288
57427,296
57439,294
57450,320
57461,288
57473,282
57484,306
57496,303
57507,318
57519,280
57530,296
57541,294
57552,311
57565,282
57576,303
57587,305
57598,306
57610,313
57621,314
57633,320
57645,326
57656,333
57667,334
57678,337
57691,340
57702,345
57713,342
57724,348
57736,353
57747,349
57759,353
57771,353
57782,357
57793,356
57804,357
57816,357
57828,355
57839,360
57850,356
57862,358
57873,361
57884,355
57896,360
57908,358
57919,353
57930,351
57942,357
57953,357
57965,361
57976,357
57988,359
57999,360
58010,360
58021,360
58034,356
58045,360
58056,355
58067,356
58079,358
58091,355
58102,356
58114,353
58125,353
58136,352
58147,349
58160,350
58171,348
58182,350
58193,344
58205,348
58216,345
58228,346
58240,347
58251,344
58262,346
58273,344
58285,346
58297,344
58308,346
58319,344
58331,345
58342,343
58353,342
58365,347
58377,343
58388,343
58399,342
58411,340
58423,342
58434,341
58445,342
58457,343
