timestamp,signal
0,311
10,315
20,317
30,316
40,317
51,321
62,321
72,325
82,323
93,328
103,324
113,324
123,328
135,326
145,332
155,326
165,331
176,330
187,330
197,330
207,328
218,329
228,327
238,331
249,329
260,331
270,330
280,332
290,335
302,332
312,329
322,330
332,335
343,338
354,337
364,341
374,340
385,342
395,343
405,343
416,342
427,349
437,348
447,348
457,348
468,349
479,352
489,351
499,354
509,353
520,351
531,352
541,353
551,355
562,357
572,353
583,354
593,352
604,355
614,385
624,424
634,447
646,456
656,451
666,443
676,432
687,430
698,422
708,415
718,409
729,397
739,394
749,379
760,366
771,361
781,360
791,357
801,352
813,347
823,346
833,341
843,346
854,350
865,361
875,371
885,371
896,375
906,374
916,373
927,371
937,373
948,374
958,381
968,388
979,400
990,416
1000,431
1010,443
1020,460
1032,479
1042,502
1052,523
1062,541
1074,557
1084,568
1094,579
1104,583
1115,589
1126,588
1136,587
1146,588
1157,592
1168,593
1178,597
1188,596
1199,594
1209,596
1220,596
1230,601
1241,602
1251,604
1262,600
1272,602
1283,589
1293,571
1304,558
1314,547
1325,529
1335,523
1345,517
1356,519
1367,522
1377,524
1387,525
1398,523
1409,516
1419,507
1429,484
1440,460
1451,429
1461,393
1471,357
1481,329
1492,298
1503,270
1513,242
1523,223
1534,201
1545,187
1555,174
1565,161
1576,151
1587,142
1597,133
1607,126
1617,120
1629,113
1639,111
1649,103
1659,107
1671,109
1681,111
1691,115
1701,110
1712,112
1723,115
1733,116
1743,116
1754,122
1765,120
1775,120
1785,123
1796,145
1807,158
1817,167
1827,181
1838,194
1848,210
1859,220
1869,232
1880,241
1890,254
1901,269
1911,281
1922,293
1932,302
1943,312
1953,315
1964,325
1974,324
1984,334
1995,338
2006,346
2016,353
2026,368
2037,370
2048,387
2058,401
2068,414
2079,435
2089,443
2100,452
2110,459
2120,468
2131,475
2142,483
2152,494
2162,495
2173,502
2184,512
2194,516
2204,522
2215,529
2226,535
2236,536
2246,543
2256,551
2268,556
2278,558
2288,563
2298,560
2310,564
2320,561
2330,566
2340,568
2351,570
2362,566
2372,560
2382,554
2393,545
2404,532
2414,522
2424,505
2435,487
2446,470
2456,452
2466,438
2477,421
2487,403
2498,391
2508,377
2519,362
2529,345
2540,336
2550,321
2561,306
2571,291
2582,276
2592,268
2603,261
2613,253
2623,244
2634,235
2644,231
2655,219
2665,216
2676,209
2686,205
2697,196
2707,191
2718,194
2728,187
2739,181
2749,179
2759,178
2770,173
2781,169
2791,171
2801,168
2812,162
2823,163
2833,161
2843,163
2853,163
2865,167
2875,174
2885,183
2895,183
