timestamp,signal
0,328
10,327
20,324
30,328
40,327
51,328
62,327
72,330
82,328
93,326
103,330
113,329
123,330
135,328
145,330
155,329
165,330
176,328
187,332
197,333
207,333
218,337
228,335
238,335
249,334
260,333
270,324
280,328
290,331
302,332
312,331
322,333
332,335
343,333
354,332
364,335
374,334
385,331
395,328
405,327
416,332
427,319
437,328
447,328
457,328
468,332
479,333
489,332
499,331
509,334
520,330
531,335
541,333
551,334
562,337
572,338
583,335
593,339
604,335
614,337
624,338
634,336
646,336
656,335
666,337
676,337
687,337
698,338
708,338
718,336
729,336
739,340
749,339
760,338
771,341
781,337
791,338
801,338
813,334
823,337
833,338
843,336
854,333
865,337
875,335
885,333
896,336
906,338
916,331
927,328
937,324
948,330
958,330
968,328
979,329
990,328
1000,327
1010,330
1020,336
1032,337
1042,340
1052,344
1062,343
1074,342
1084,343
1094,344
1104,343
1115,343
1126,340
1136,342
1146,340
1157,341
1168,340
1178,340
1188,340
1199,340
1209,340
1220,342
1230,339
1241,343
1251,339
1262,344
1272,340
1283,342
1293,343
1304,341
1314,341
1325,339
1335,340
1345,336
1356,341
1367,333
1377,344
1387,341
1398,335
1409,334
1419,331
1429,330
1440,338
1451,332
1461,338
1471,340
1481,338
1492,336
1503,336
1513,343
1523,333
1534,335
1545,331
1555,336
1565,332
1576,337
1587,332
1597,346
1607,345
1617,335
1629,331
1639,342
1649,340
1659,332
1671,342
1681,334
1691,339
1701,341
1712,334
1723,338
1733,336
1743,338
1754,336
1765,326
1775,318
1785,318
1796,317
1807,309
1817,310
1827,320
1838,319
1848,316
1859,319
1869,310
1880,299
1890,302
1901,268
1911,339
1922,343
1932,315
1943,331
1953,321
1964,338
1974,329
1984,320
1995,328
2006,318
2016,329
2026,337
2037,334
2048,334
2058,338
2068,356
2079,355
2089,346
2100,352
2110,339
2120,337
2131,325
2142,352
2152,319
2162,343
2173,326
2184,357
2194,359
2204,341
2215,364
2226,350
2236,343
2246,342
2256,356
2268,338
2278,340
2288,335
2298,334
2310,333
2320,338
2330,337
2340,340
2351,341
2362,334
2372,328
2382,324
2393,329
2404,316
2414,331
2424,318
2435,315
2446,335
2456,324
2466,324
2477,329
2487,316
2498,333
2508,323
2519,322
2529,336
2540,333
2550,319
2561,335
2571,330
2582,332
2592,330
2603,323
2613,323
2623,333
2634,325
2644,333
2655,323
2665,332
2676,326
2686,330
2697,328
2707,325
2718,327
2728,325
2739,323
2749,324
2759,326
2770,323
2781,321
2791,324
2801,323
2812,318
2823,324
2833,318
2843,320
2853,321
2865,320
2875,318
2885,320
2895,317
2907,332
2917,341
2927,342
2937,343
2949,348
2959,358
2969,366
2979,371
2990,372
3001,379
3011,377
3021,382
3032,381
3043,380
3053,385
3063,386
3074,384
3085,382
3095,376
3105,376
3116,367
3126,375
3137,368
3147,372
3158,365
3168,370
3179,371
3189,358
3200,372
3210,366
3221,371
3231,359
3241,376
3252,365
3262,367
3273,367
3283,359
3294,364
3304,365
3315,357
3325,352
3336,353
3346,355
3357,351
3367,350
3378,340
3388,315
3398,315
3409,270
3420,267
3430,259
3440,236
3451,227
3462,235
3472,233
3482,240
3492,245
3504,256
3514,256
3524,268
3534,268
3546,282
3556,282
3566,283
3576,283
3588,287
3598,288
3608,292
3618,296
3629,293
3640,300
3650,297
3660,301
3671,299
3682,307
3692,307
3702,302
3713,308
3724,310
3734,308
3744,309
3755,316
3765,313
3776,315
3786,313
3796,320
3807,320
3818,322
3828,322
3838,324
3849,323
3860,325
3870,324
3880,326
3891,324
3901,329
3912,328
3922,330
3933,327
3943,332
3954,331
3964,331
3975,329
3985,336
3995,329
4006,329
4017,336
4027,328
4037,330
4048,328
4059,331
4069,334
4079,332
4090,335
4101,337
4111,338
4121,335
4131,336
4143,338
4153,341
4163,336
4173,337
4185,339
4195,338
4205,337
4215,337
4227,329
4237,337
4247,335
4257,340
4268,339
4279,340
4289,342
4299,340
4310,340
4321,341
4331,342
4341,340
4352,339
4363,345
4373,341
4383,341
9076,320
9086,321
9097,325
9107,325
9118,326
9076,320
9086,321
9097,325
9107,325
9118,326
9076,320
9086,321
9097,325
9107,325
9118,326
9076,320
9086,321
9097,325
9107,325
9118,326
9076,320
9086,321
9097,325
9107,325
9118,326
9076,320
9086,321
9097,325
9107,325
9118,326
9128,325
9139,326
9149,327
9160,326
9170,325
9181,32
9139,326
9149,327
9160,326
9170,325
9181,32
9139,326
9149,327
9160,326
9170,325
9181,32
9139,326
9149,327
9160,326
9170,325
9181,32
9139,326
9149,327
9160,326
9170,325
9181,32
9139,326
9149,327
9160,326
9170,325
9181,32
9139,326
9149,327
9160,326
9170,325
9181,32
9139,326
9149,327
9160,326
9170,325
9181,32
9139,326
9149,327
9160,326
9170,325
9181,32
9139,326
9149,327
9160,326
9170,325
9181,32
9139,326
9149,327
9160,326
9170,325
9181,32
9139,326
9149,327
9160,326
9170,325
9181,32
9139,326
9149,327
9160,326
9170,325
9181,32
9139,326
9149,327
9160,326
9170,325
9181,329
9191,328
9201,328
9212,330
9223,331
9233,328
9191,328
9201,328
9212,330
9223,331
9233,328
9191,328
9201,328
9212,330
9223,331
9233,328
9191,328
9201,328
9212,330
9223,331
9233,328
9243,327
9254,331
9265,332
9275,331
9285,330
9296,334
9307,330
9317,333
9327,334
9337,333
9349,331
9359,332
9369,333
9379,332
9391,332
9401,334
9411,328
9421,331
9433,332
9443,332
9453,329
9463,334
9474,332
9485,329
9495,335
9505,334
9516,332
9527,335
9537,331
9547,332
9558,330
9569,333
9579,334
9589,333
9600,334
9610,333
9621,331
9631,334
9641,332
9652,333
9663,335
9673,333
9683,331
9694,335
9704,334
9715,336
9725,337
9736,336
9746,336
9757,335
9767,334
9778,335
9788,336
9799,334
9809,334
9820,338
9830,335
9840,333
9851,327
9862,330
9872,328
9882,329
9893,335
9904,331
9914,331
9924,329
9935,329
9946,328
9956,324
9966,326
9976,326
9988,324
9998,325
10008,323
10018,326
10030,323
10040,323
10050,325
10061,322
10072,321
10082,323
10092,321
10103,324
10114,320
10124,323
10134,322
10145,327
10156,324
10166,325
10177,328
10187,326
10198,324
10208,328
10219,326
10229,328
10240,328
10250,328
10261,328
10271,326
10281,331
10293,330
10303,329
10313,330
10323,330
10335,330
10345,334
10355,330
10366,336
10377,332
10387,329
10397,333
10408,331
10419,330
10429,334
10439,334
10450,332
10461,333
10471,334
10482,332
10492,330
10503,337
10513,332
10524,331
10534,334
10545,333
10556,336
10566,335
10576,336
10587,333
10598,335
10608,337
10618,336
10629,336
10640,337
10650,335
10660,339
10672,337
10683,335
10694,337
10706,339
10718,337
10729,329
10740,333
10752,335
10763,336
10775,340
10786,336
10798,340
10809,339
10820,340
10831,342
10844,339
10855,339
10866,340
10877,341
10889,336
10900,340
10912,339
10924,341
10935,340
10946,338
10957,341
10970,338
